# Columns:
# 1. RA [deg]
# 2. Dec [deg]
# 3. Redshift in observation
# 4. Weight of this object in computing the cross-correlation
131.657951 18.889895 0.013112 1.000000
184.205116 30.269811 0.012802 1.000000
188.036957 30.715304 0.023161 1.000000
191.579919 31.084685 0.015320 1.000000
197.858551 30.619709 0.020681 1.000000
146.400237 21.464924 0.016659 1.000000
141.284321 20.195235 0.020190 1.000000
169.340343 25.449625 0.029476 1.000000
202.889925 25.627074 0.025632 1.000000
169.053598 26.779629 0.019738 1.000000
186.581404 27.504224 0.028229 1.000000
162.044359 26.163814 0.012324 1.000000
171.099251 27.672726 0.026416 1.000000
204.847270 26.994617 0.025755 1.000000
146.229879 21.153269 0.025642 1.000000
145.850275 21.914257 0.012523 1.000000
178.621977 27.736451 0.012022 1.000000
190.424575 28.650006 0.025524 1.000000
198.303070 24.352689 0.014671 1.000000
178.622649 25.149843 0.020768 1.000000
180.121852 25.694970 0.019404 1.000000
179.796604 26.027645 0.022911 1.000000
207.839378 24.372299 0.027586 1.000000
151.469143 20.393946 0.011826 1.000000
148.756114 20.076712 0.025278 1.000000
156.994716 22.184926 0.013999 1.000000
165.473753 23.611699 0.021994 1.000000
165.788906 23.727472 0.021463 1.000000
171.660982 24.299385 0.023620 1.000000
183.654136 21.989087 0.023536 1.000000
145.798017 17.688131 0.014908 1.000000
152.020649 19.113349 0.012656 1.000000
172.784801 21.889301 0.011237 1.000000
168.590016 21.032389 0.026807 1.000000
172.358162 21.352119 0.013016 1.000000
154.266495 19.176723 0.018106 1.000000
206.492047 20.750858 0.031374 1.000000
179.136950 22.461652 0.021931 1.000000
205.220460 21.385589 0.034665 1.000000
157.467919 20.669286 0.019179 1.000000
167.131441 22.053919 0.022377 1.000000
207.930593 21.338767 0.026774 1.000000
166.719901 22.422184 0.026700 1.000000
186.592025 24.281342 0.021679 1.000000
188.811780 24.548756 0.021464 1.000000
214.507286 21.855903 0.031816 1.000000
192.203717 24.999400 0.022737 1.000000
178.754743 25.460730 0.020218 1.000000
183.817581 19.118110 0.030005 1.000000
182.857011 20.332629 0.030432 1.000000
183.970425 21.235357 0.021223 1.000000
211.036618 17.231829 0.021097 1.000000
203.930865 19.355020 0.021563 1.000000
201.654806 19.872741 0.014215 1.000000
151.747014 16.351077 0.022850 1.000000
147.420685 15.982629 0.019599 1.000000
160.765940 19.160449 0.019702 1.000000
175.457582 19.767884 0.026099 1.000000
180.510792 18.780055 0.015784 1.000000
178.766209 19.083283 0.012989 1.000000
179.530783 20.838441 0.013604 1.000000
209.777292 15.576100 0.024150 1.000000
230.569013 13.012324 0.028834 1.000000
243.172151 12.671694 0.033706 1.000000
245.362386 49.954265 0.013831 1.000000
179.433734 17.224621 0.012665 1.000000
127.245735 8.808803 0.030737 1.000000
143.547748 13.913029 0.025606 1.000000
135.943731 12.734649 0.016839 1.000000
